product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,cosmetic.inci,identifiers.gtin,origin.country,pack.net_quantity,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.DETAIL
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Minimum age (years),Permitted for sale,Ingredients (INCI),GTIN,Country of origin,Net quantity,Net quantity unit,Recyclable packaging (%),Image - pack_front,Image - detail
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; safety - a person reviews any change; applies to hpc.cleaning.bleach only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; safety - a person reviews any change; order is part of the value; do not sort; applies to hpc.cosmetics.haircare, hpc.cosmetics.skincare, hpc.toiletries.oralcare, hpc.toiletries.shampoo, and 1 more only; one entry per cell, separated by '|'","required by CH-MKT-A, CH-MKT-B; 14 digits, kept as text - leading zeros are significant",optional,optional,optional,"optional; the number only, in % - never '65 %'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle
